RemoteID,ProgrammeId,ProgrammeName,GroupId,GroupName,Month,Year,MaleRatio,FemaleRatio
20148,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,8,2021,48,52
2770,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,12,2018,49,51
3150,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,1,2019,48,52
3429,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,2,2019,50,50
3927,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,3,2019,52,48
4617,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,4,2019,47,53
5077,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,5,2019,48,52
5324,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,6,2019,47,53
5716,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,7,2019,44,56
6420,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,8,2019,44,56
7033,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,9,2019,48,52
7395,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,10,2019,46,54
8005,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,11,2019,48,52
8673,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,12,2019,49,51
9316,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,1,2020,48,52
9573,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,2,2020,44,56
11830,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,6,2020,49,51
12310,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,7,2020,48,52
12689,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,8,2020,47,53
13209,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,9,2020,48,52
13703,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,10,2020,49,51
14273,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,11,2020,48,52
15002,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,12,2020,49,51
15570,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,1,2021,48,52
16217,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,2,2021,49,51
17449,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,4,2021,47,53
18630,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,6,2021,49,51
19246,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,7,2021,47,53
1946,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,11,2018,47,53
1805,338,BBC Radio Stoke Breakfast,23,Local Radio Breakfast,10,2018,51,49
19587,1588,"BBC Radio Cornwall ",23,Local Radio Breakfast,7,2021,50,50
20147,1588,"BBC Radio Cornwall ",23,Local Radio Breakfast,8,2021,53,47
10111,1279,Media action social,46,Media Action,1,2020,28,72
18781,1279,Media action social,46,Media Action,6,2021,34,66
18049,1279,Media action social,46,Media Action,5,2021,35,65
17288,1279,Media action social,46,Media Action,4,2021,42,58
16629,1279,Media action social,46,Media Action,3,2021,27,73
16264,1279,Media action social,46,Media Action,2,2021,24,76
15608,1279,Media action social,46,Media Action,1,2021,24,76
15031,1279,Media action social,46,Media Action,12,2020,39,61
14352,1279,Media action social,46,Media Action,11,2020,31,69
13761,1279,Media action social,46,Media Action,10,2020,53,47
13055,1279,Media action social,46,Media Action,9,2020,50,50
12587,1279,Media action social,46,Media Action,8,2020,41,59
12265,1279,Media action social,46,Media Action,7,2020,78,22
11812,1279,Media action social,46,Media Action,6,2020,44,56
11109,1279,Media action social,46,Media Action,5,2020,43,57
10869,1279,Media action social,46,Media Action,4,2020,41,59
10608,1279,Media action social,46,Media Action,3,2020,53,47
10112,1279,Media action social,46,Media Action,2,2020,27,73
19259,1279,Media action social,46,Media Action,7,2021,27,73
20146,1279,Media action social,46,Media Action,8,2021,12,88
10607,1278,Media action blog,46,Media Action,3,2020,20,80
18782,1278,Media action blog,46,Media Action,6,2021,67,33
18048,1278,Media action blog,46,Media Action,5,2021,20,80
17287,1278,Media action blog,46,Media Action,4,2021,67,33
16630,1278,Media action blog,46,Media Action,3,2021,11,89
16174,1278,Media action blog,46,Media Action,2,2021,50,50
15032,1278,Media action blog,46,Media Action,12,2020,100,0
19247,1278,Media action blog,46,Media Action,7,2021,33,67
14351,1278,Media action blog,46,Media Action,11,2020,43,57
13054,1278,Media action blog,46,Media Action,9,2020,0,100
12586,1278,Media action blog,46,Media Action,8,2020,43,57
12266,1278,Media action blog,46,Media Action,7,2020,50,50
11811,1278,Media action blog,46,Media Action,6,2020,33,67
11111,1278,Media action blog,46,Media Action,5,2020,67,33
10867,1278,Media action blog,46,Media Action,4,2020,17,83
13762,1278,Media action blog,46,Media Action,10,2020,50,50
20145,1278,Media action blog,46,Media Action,8,2021,100,0
17567,1484,Political Newsgathering,17,Newsgathering,2,2021,48,52
17566,1484,Political Newsgathering,17,Newsgathering,3,2021,45,55
17821,1484,Political Newsgathering,17,Newsgathering,4,2021,59,41
18106,1484,Political Newsgathering,17,Newsgathering,5,2021,47,53
18724,1484,Political Newsgathering,17,Newsgathering,6,2021,49,51
19228,1484,Political Newsgathering,17,Newsgathering,7,2021,60,40
20144,1484,Political Newsgathering,17,Newsgathering,8,2021,52,48
15184,1461,Tom Ravenscroft,48,Radio 6 Music,12,2020,44,56
15206,1461,Tom Ravenscroft,48,Radio 6 Music,1,2021,43,57
16360,1461,Tom Ravenscroft,48,Radio 6 Music,2,2021,40,60
17128,1461,Tom Ravenscroft,48,Radio 6 Music,3,2021,75,25
17269,1461,Tom Ravenscroft,48,Radio 6 Music,4,2021,75,25
18141,1461,Tom Ravenscroft,48,Radio 6 Music,5,2021,60,40
18582,1461,Tom Ravenscroft,48,Radio 6 Music,6,2021,33,67
19206,1461,Tom Ravenscroft,48,Radio 6 Music,7,2021,50,50
